chords / notes,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
C,1,0,0,0,1,0,0,1,0,0,0,0
Cm,1,0,0,1,0,0,0,1,0,0,0,0
C#,0,1,0,0,0,1,0,0,1,0,0,0
C#m,0,1,0,0,1,0,0,0,1,0,0,0
D,0,0,1,0,0,0,1,0,0,1,0,0
Dm,0,0,1,0,0,1,0,0,0,1,0,0
D#,0,0,0,1,0,0,0,1,0,0,1,0
D#m,0,0,0,1,0,0,1,0,0,0,1,0
E,0,0,0,0,1,0,0,0,1,0,0,1
Em,0,0,0,0,1,0,0,1,0,0,0,1
F,1,0,0,0,0,1,0,0,0,1,0,0
Fm,1,0,0,0,0,1,0,0,1,0,0,0
F#,0,1,0,0,0,0,1,0,0,0,1,0
F#m,0,1,0,0,0,0,1,0,0,1,0,0
G,0,0,1,0,0,0,0,1,0,0,0,1
Gm,0,0,1,0,0,0,0,1,0,0,1,0
G#,1,0,0,1,0,0,0,0,1,0,0,0
G#m,0,0,0,1,0,0,0,0,1,0,0,1
A,0,1,0,0,1,0,0,0,0,1,0,0
Am,1,0,0,0,1,0,0,0,0,1,0,0
A#,0,0,1,0,0,1,0,0,0,0,1,0
A#m,0,1,0,0,0,1,0,0,0,0,1,0
B,0,0,0,1,0,0,1,0,0,0,0,1
Bm,0,0,1,0,0,0,1,0,0,0,0,1
NC,1,1,1,1,1,1,1,1,1,1,1,1
